Name,Auto number,Program check,Program name,Type of Opportunity,Annual scholarship?,Study level,Host Country,Discipline,Value,Note,Link,Deadline?,Date updated,Checked?
UNIST Scholarship in Korea,691,,UNIST Scholarship in Korea,University-sponsor Scholarship,checked,Undergraduate,South Korea,A LOT OF DISCIPLINES,Full scholarship,,http://adm-u.intl.unist.ac.kr/,September,21/8/2017,
" University of British Columbia Scholarships for International Students in Canada, 2018",1056,," University of British Columbia Scholarships for International Students in Canada, 2018",University-sponsor Scholarship,checked,Undergraduate,Canada,A LOT OF DISCIPLINES,100% tuition fee,"To be considered for the IMES, you must
+     Be new to UBC, entering directly from secondary school or post-secondary (university or college)
+   Be an international student who will be studying at UBC on a Canadian study permit (student visa). (Changes to your citizenship status will affect your IMES eligibility.)
+  Demonstrate exceptional academic achievement and intellectual promise, as well as impressive extracurricular and community involvement
+   Apply to UBC by January 15",http://you.ubc.ca/financial-planning/scholarships-awards-international-students/,January,5/9/2017,
Vietnam Young Leader Awards,23,,Vietnam Young Leader Awards,Government Scholarship,checked,"Master ,PhD ",Vietnam,Business and finance,Full scholarship,Ưu tiên các bạn làm khối nhà nước,https://www.vyla.info/,January,18/8/2017,
“Let Wisdom Rise” Scholarship Competition,934,,“Let Wisdom Rise” Scholarship Competition,University-sponsor Scholarship,checked,Undergraduate,United State,A LOT OF DISCIPLINES,less than 50% tuition fee,"Phải nộp đơn nhập học vào trường trước khi apply học bổng.
Cần nộp học bạ, SAT/ACT đúng hạn:
Mùa thu: November 4
Mùa xuân: February 10",http://www.randolphcollege.edu/admission/scholarship-competition/,November,4/9/2017,
[Hàn Quốc] Học bổng toàn phần sau đại học tại Viện Khoa học và Công nghệ Deagu Gyeongbuk (DGIST) 2018,1251,,[Hàn Quốc] Học bổng toàn phần sau đại học tại Viện Khoa học và Công nghệ Deagu Gyeongbuk (DGIST) 2018,University-sponsor Scholarship,,"Post-graduate ,Master ",South Korea,Computer science and IT,Full scholarship,,http://admission.dgist.ac.kr/site/dgist_admission/menu/478.do,December,21/9/2017,
[Slovak Republic] Học Bổng Chính Phủ Cộng Hòa Slovakia 2017-2018,315,,[Slovak Republic] Học Bổng Chính Phủ Cộng Hòa Slovakia 2017-2018,Government Scholarship,checked,"PhD ,Post-graduate ",Slovakia,A LOT OF DISCIPLINES,less than 50% tuition fee,,https://www.scholarships.sk/en/main/programme-terms-and-conditions/foreign-applicants,"April,October ",18/8/2017,
[UK] Học Bổng Thạc Sĩ IMSISS and ERASMUS Mundus 2018,1364,,[UK] Học Bổng Thạc Sĩ IMSISS and ERASMUS Mundus 2018,Government Scholarship,checked,Master,United Kingdom,Computer science and IT,Full scholarship,"You should have a 2.1 Honours degree or equivalent qualification in a relevant subject, such as, but not limited to politics, international relations, history, area and cultural studies, law, sociology, criminology, human geography, computing science, language sciences, global studies, psychology, media studies and journalism, modern languages or business. Other disciplines not listed here will be considered on an individual basis. ","https://www.gla.ac.uk/postgraduate/erasmusmundus/imsiss/#/aboutimsiss,keyfacts,whystudythisprogramme?",January,12/10/2017,
8th Model Asia-Europe Meeting,760,,8th Model Asia-Europe Meeting,Conference Scholarship,checked,"Undergraduate ,Post-graduate ,Master ,PhD ",Myanmar,A LOT OF DISCIPLINES,Full scholarship,,http://asef.org/projects/themes/education/4104-modelasem8,September,23/8/2017,
30% Club / ESMT MBA Women's Scholarship,1196,,30% Club / ESMT MBA Women's Scholarship,University-sponsor Scholarship,checked,No specified,Germany,Business and finance,less than 50% tuition fee,"- Học bổng MBA dành cho nữ. 
- Phải chứng minh được là đã có sự xuất sắc trong leadership trong công việc.",https://www.esmt.org/degree-programs/full-time-mba/fees-and-financing/mba-scholarships,Change every year,17/9/2017,
100% MBA Scholarship at École des Ponts Business School,738,,100% MBA Scholarship at École des Ponts Business School,University-sponsor Scholarship,,Master,France,Business and finance,"100% tuition fee,50% tuition fee ,less than 50% tuition fee ","These merit-based scholarships will be awarded to applicants on a first-come, first-served basis.
(Vì hôm nay em cũng mới kiếm học bổng này ạ nên em cũng chỉ biết trong nội hạt website đưa tin thôi ạ )",https://pontsbschool.com/programs/full-time-mba/new-mba-scholarships/,September,22/8/2017,
200 suất học bổng du học miễn phí tại Đài Loan,1243,,200 suất học bổng du học miễn phí tại Đài Loan,University-sponsor Scholarship,checked,Undergraduate,Taiwan,"Engineer and Technology ,""Arts, Design and Photography"",Journalism and Media ,Computer science and IT ","100% tuition fee,Full scholarship","18-25 yrs-old
GPA >= 6.5
Graduated High school",http://vietnamtimes.info/2017/09/20/200-suat-hoc-bong-du-hoc-mien-phi-dai-loan/,"Febuary,September",20/9/2017,
600 Tennessee Tech University Scholarships in USA,1349,,600 Tennessee Tech University Scholarships in USA,University-sponsor Scholarship,checked,Undergraduate,United State,A LOT OF DISCIPLINES,"Full scholarship,more than 50% tuition fee,100% tuition fee,Nearly full scholarship (withour air tickets or accommodation),less than 50% tuition fee ,50% tuition fee ","Học bổng trị giá nhất lên tới 100% học phí, còn có cả phí sinh hoạt và các khoản hỗ trợ khác khi sống tại Mỹ ạ .",https://www.tntech.edu/em/scholarships/,December,5/10/2017,
A. Wilhelmsen Foundation scholarship programme,374,,A. Wilhelmsen Foundation scholarship programme,Company-sponsor Scholarship,,Master,Norway,Business and finance,Cash award,Học bổng này có giá trị NOK 75 000 chỉ trao cho sinh viên đang theo học tại trường BI Norwegian Business school ạ.,https://www.bi.edu/study-at-bi/scholarships/a.-wilhelmsen-foundation-scholarship-programme/,March,18/8/2017,
A.S. Hornby Trust Scholarship Programme,1214,,A.S. Hornby Trust Scholarship Programme,University-sponsor Scholarship,checked,Post-graduate,United Kingdom,Social sciences and Humanities,Cash award,Theo như em đọc được thì nếu muốn apply học bổng này thì phải liên hệ với trang Bristish Council chứ không phải web chính thức,http://www.hornby-trust.org.uk/home/4557353331,December,19/9/2017,
"AAI One World Scholarship Programme for Developing Countries in Austria, 2017",888,,"AAI One World Scholarship Programme for Developing Countries in Austria, 2017",No specified,,"Master ,PhD ",Austria,A LOT OF DISCIPLINES,50% tuition fee,,http://www.aai-salzburg.at/en_students_scholarship.htm,July,30/8/2017,checked
Aalto University Scholarship programme,258,,Aalto University Scholarship programme,University-sponsor Scholarship,checked,"Master ,Undergraduate ",Finland,A LOT OF DISCIPLINES,100% tuition fee,,http://www.aalto.fi/en/studies/fees_and_scholarships/,January,18/8/2017,
AAUW International Fellowships in USA for Women,369,,AAUW International Fellowships in USA for Women,Fellowship Scholarship,checked,"Post-graduate ,Master ,PhD ",United State,A LOT OF DISCIPLINES,Cash award,"*Intend to return to her home country to pursue a professional career.

*Institutional TOEFL scores and other English proficiency test scores (such as IELTS) will not be accepted. Minimum score acceptable: 550 for Paper-Based Test (TOEFL PBT); 79 for Internet-Based Test (TOEFL iBT); 60 for Revised TOEFL Paper-Delivered Test.

*The $30 filing fee is required to cover the cost of administering the application process. Payment will be accepted through Braintree. AAUW does not provide application fee refunds for ineligible, incomplete, or unsuccessful applications. 

",http://www.aauw.org/what-we-do/educational-funding-and-awards/international-fellowships/if-application/,December,18/8/2017,
Access Opportunity Scholarship at University College London,1144,,Access Opportunity Scholarship at University College London,University-sponsor Scholarship,checked,Undergraduate,United Kingdom,A LOT OF DISCIPLINES,Full scholarship,"The scholarship will consist of full tuition fees and a living allowance of £10,750 per year for the normal duration of your programme at UCL.   Annual renewal of the scholarship is subject to satisfactory academic progress.",http://www.scholars4dev.com/20796/access-opportunity-scholarship-at-university-college-london/,July,12/9/2017,
ADB Scholarships at University of Auckland,996,,ADB Scholarships at University of Auckland,University-sponsor Scholarship,checked,Master,New Zealand,A LOT OF DISCIPLINES,Full scholarship,Học bổng yêu cầu người tham gia phải có ít nhất 2 năm kinh nghiệm làm việc sau đại học và phải dưới 35 tuổi (một số trường hợp đặc biệt thì dưới 45 tuổi). Đặc biệt người tham gia phải đồng ý quay trở về nước sau khi hoàn tất chương trình học.,https://www.auckland.ac.nz/en/study/international-students/scholarships-loans-and-funding/development-scholarships/asian-development-bank-japan-scholarship-program.html,July,9/9/2017,
ADB- JSP (Auckland University - New Zealand),24,,ADB- JSP (Auckland University - New Zealand),Company-sponsor Scholarship,checked,Master,New Zealand,A LOT OF DISCIPLINES,Full scholarship,Bất kì chương trình học nào Auckland Uni offer đều được.,https://www.auckland.ac.nz/en/study/international-students/scholarships-loans-and-funding/development-scholarships/asian-development-bank-japan-scholarship-program.html,July,17/8/2017,
Adelaide International Undergraduate Scholarships (AIUS),20,,Adelaide International Undergraduate Scholarships (AIUS),University-sponsor Scholarship,checked,Undergraduate,Australia,A LOT OF DISCIPLINES,less than 50% tuition fee,"25% học phí trong 4 năm

Available for study in any discipline except Bachelor of Medicine, Bachelor of Surgery (MBBS), Bachelor of Dental Surgery (BDS), Bachelor of Oral Health and Bachelor of Science (Veterinary Bioscience)",https://international.adelaide.edu.au/choosing/scholarships/aius/,"June ,January ",15/8/2017,checked
Adelaide Scholarships International,356,,Adelaide Scholarships International,University-sponsor Scholarship,checked,"Master ,PhD ",Australia,A LOT OF DISCIPLINES,Full scholarship,"An annual living allowance ($26,288 in 2016) for two years for a Masters degree by Research and three years for a Doctoral research degree (an extension is possible for doctoral programs only), for Student Visa (Subclass 500) visa holders the award provides compulsory standard Overseas Student Health Cover (OSHC) Worldcare policy for the student and their spouse and dependents (if any) for the standard duration of the student visa.  It does not cover the additional 6 month extended student visa period post thesis submission. If the award holder does not hold a subclass 500 visa then he/she is responsible for the cost of health insurance",http://www.adelaide.edu.au/graduatecentre/scholarships/research-international/opportunities/adelaide-scholarship-international/,August,18/8/2017,
Admission scholarship scheme for overseas students of Hongkong Baptist University,25,,Admission scholarship scheme for overseas students of Hongkong Baptist University,University-sponsor Scholarship,checked,Undergraduate,Hong Kong,A LOT OF DISCIPLINES,Full scholarship,Trường tự đề cử ứng viên,http://sa.hkbu.edu.hk/sfa/scholarships/admission-scholarships/admission-scholarships-for-outstanding-mainland-international-and-non-jupas-local-applicants,May,17/8/2017,
AEON Scholarship,1211,,AEON Scholarship,University-sponsor Scholarship,checked,Post-graduate,Japan,A LOT OF DISCIPLINES,"100% tuition fee,Cash award ","Học bổng dành cho sinh viên châu viên châu Á dưới 35 tuổi khi đăng ký vào một ngành học của trường International University of Japan, có thành tích học tập tốt và trình độ tiếng Nhật tương đương trình N3. 
Học bổng bao gồm: 
* 250,000 yen trên tổng số 300,000 yen phí nộp hồ sơ
* Toàn bộ học phí
* trợ cấp hàng tháng 100,000 yen",http://www.iuj.ac.jp/admission/pdf/2018/Sch_Instructions_M_E.pdf,Febuary,19/9/2017,
AFoCo Landmark Graduate Scholarship,1071,,AFoCo Landmark Graduate Scholarship,Government Scholarship,checked,Post-graduate,South Korea,Environmental studies and earth sciences,Full scholarship,,http://www.afocosec.org/afoco/pc/en/news/notice/view.php?id=99,March,5/9/2017,
Agnes Paykel PhD Scholarships,758,,Agnes Paykel PhD Scholarships,University-sponsor Scholarship,checked,PhD,New Zealand,A LOT OF DISCIPLINES,Cash award,"- Usually open around 6 weeks before the closing date. 
- Up to $27,000pa plus domestic PhD fees and international student health insurance (if applicable)
- Tenure of reward: up to 3 years (for applicants who hold a first-class academic record)",https://www.auckland.ac.nz/en/for/current-students/cs-scholarships-and-awards/cs-search-for-scholarships-and-awards/agnes-paykel-phd-scholarships-735-lig.html,December,23/8/2017,
Agriculture and environment in a changing climate- the Israeli Perspective,1242,,Agriculture and environment in a changing climate- the Israeli Perspective,Government Scholarship,,Post-graduate,Israel,Natural Sciences and Mathematics,100% tuition fee,Khóa học ngắn hạn,http://bit.ly/nongnghiepvamoitruong-israel2017,October,20/9/2017,
Aichi Scholarship Program,694,,Aichi Scholarship Program,Government Scholarship,checked,"PhD ,Master ",Japan,"Business and finance,Engineer and Technology ",Nearly full scholarship (withour air tickets or accommodation),"- Liên hệ với Varonet nếu có nguyện vọng xin được hội Varonet (Hội cựu du học sinh Việt Nam tỉnh Aichi) tiến cử lên tỉnh Aichi (Varonet tiến cử sẽ làm TĂNG thêm cơ hội nhận được học bổng, các bạn cũng có thể không cần thông qua sự tiến cử của hội).
- Các bạn PHẢI tìm được giáo sư và trường đại học chấp nhận trước khi nộp hồ sơ cho Varonet",http://www.pref.aichi.jp/kokusai/ryugakusei-portal/e/ukeire/index.html,June,21/8/2017,checked
AIT VIETNAM’S 25TH ANNIVERSARY SCHOLARSHIP PROGRAM FOR 2015 - 2018,1093,,AIT VIETNAM’S 25TH ANNIVERSARY SCHOLARSHIP PROGRAM FOR 2015 - 2018,University-sponsor Scholarship,checked,"Post-graduate ,Master ,PhD ",Thailand,A LOT OF DISCIPLINES,Nearly full scholarship (withour air tickets or accommodation),,http://www.ait.asia/admissions/Current_Scholarships/ait-vietnam2019s-25th-anniversary-scholarship-program-for-2015-2018/#.Wa-2_NDTTDc,November,6/9/2017,
Al-Yafei International Undergraduate Scholarship,851,,Al-Yafei International Undergraduate Scholarship,University-sponsor Scholarship,checked,Undergraduate,United Kingdom,A LOT OF DISCIPLINES,less than 50% tuition fee,"This scholarship is awarded in the form of a £5,000 reduction in your tuition fee
 
Conditions:
    You must be classified as an international student (non-EU) for fee purposes.
    The scholarship will not be awarded in any year where an industrial placement or study abroad/exchange programme is undertaken.
    The scholarship will be discontinued if you suspend your studies or if the normal progress of your studies is interrupted for any reason.
    If you enroll on an MBChB degree in Medicine, you will not be eligible for the scholarship.
",https://le.ac.uk/student-life/undergraduates/fees-funding/scholarships-discounts/al-yafei,Change every year,25/8/2017,checked
Alfabet Scholarship,962,,Alfabet Scholarship,Exchange scholarship,checked,"Undergraduate ,Master ,PhD ,Post-graduate ",Europe,"Engineer and Technology ,Social sciences and Humanities ,Environmental studies and earth sciences",Cash award,Dành cho SV tại ĐH Huế hoặc Học viện Nông Nghiệp Việt Nam,https://www.alfabet-em.cz/,January,5/9/2017,
"American English E-Teacher Program, Winter Term",1315,,"American English E-Teacher Program, Winter Term",Government Scholarship,checked,No specified,Vietnam,Social sciences and Humanities,100% tuition fee,Học bổng online trị giá 1500 USD cho giaó viên tiếng Anh,https://vn.usembassy.gov/wp-content/uploads/sites/40/ETeacher-Winter2018.pdf,October,28/9/2017,
American University Emerging Global Leader Scholarship,570,,American University Emerging Global Leader Scholarship,University-sponsor Scholarship,checked,Undergraduate,United State,A LOT OF DISCIPLINES,Nearly full scholarship (withour air tickets or accommodation),"1. Số lượng học bổng: 1 
2. Phải giữ thành tích để duy trì học bổng trong 4 năm học.
3. Không được chấp nhận nếu như đã học Đại học ở Việt Nam hoặc cấp III ở Mỹ. 
4. Tối thiểu GPA 3.8( hoặc trong top 10% của lớp), IELTS 7.0, 95 TOEFL iBT hoặc 600 TOEFL trên giấy.
",http://www.american.edu/admissions/international/egls.cfm,December,19/8/2017,
Amherst College Financial Aid,1022,,Amherst College Financial Aid,University-sponsor Scholarship,checked,Undergraduate,United State,A LOT OF DISCIPLINES,Nearly full scholarship (withour air tickets or accommodation),"Amherst nằm trong nhóm trường tư top đầu của Mỹ và trường có chương trình hỗ trợ tài chính cho học sinh quốc tế theo dạng need-blind, tức là trường sẽ chỉ đánh giá năng lực của học sinh và không quan tâm đến khả năng tài chính của bạn đó đồng nghĩa với việc khi bạn nhận được giấy báo nhập học của trường thì bạn chỉ cần đóng khoản tài chính bạn đã khai ban đầu và trường sẽ cho bạn phần còn lại trong suốt 4 năm. ",https://www.amherst.edu/admission,January,25/2/1997,
Amicale des centres internationaux francophones,1094,,Amicale des centres internationaux francophones,Fellowship Scholarship,,Undergraduate,France,A LOT OF DISCIPLINES,Nearly full scholarship (withour air tickets or accommodation),Đây là một chương trình thực tập trong hè cho sinh viên Pháp ngữ trải nghiệm cuộc sống ở Pháp.,www.amicif.fr,March,6/9/2017,
Ampère Scholarship,1152,,Ampère Scholarship,University-sponsor Scholarship,checked,Master,France,"Social sciences and Humanities ,""Arts, Design and Photography""",Cash award,"Giá trị học bổng: €1000/tháng trong vòng 12 tháng. Có thể tiếp tục kéo dài cho 12 tháng tiếp theo trong năm 2, với điều kiện ứng viên được trưởng khoa chỉ định và đã hoàn thành xong năm thứ nhất.
Học bổng chỉ dành cho sinh viên quốc tế.",http://www.ens-lyon.fr/international/bourses-etudiants-internationaux-2015-2016-210882.kjsp,January,13/9/2017,
Amsterdam Excellence Scholarships,1079,Amsterdam Excellence Scholarships,Amsterdam Excellence Scholarships,University-sponsor Scholarship,checked,"Undergraduate ,Master ,PhD ",Netherland,A LOT OF DISCIPLINES,Full scholarship,"Sinh viên nhận học bổng AES 2 năm sẽ được đánh giá lại sau năm đầu, chỉ tiếp tục nhận học bổng trong năm tiếp theo nếu đã hoàn thành tất cả các môn học của năm nhất với điểm trung bình >= 8.0",http://www.uva.nl/en/education/master-s/scholarships--tuition/scholarships-and-loans/amsterdam-excellence-scholarship/amsterdam-excellence-scholarship.html,January,5/9/2017,
Amsterdam Excellence Scholarships,327,,Amsterdam Excellence Scholarships,University-sponsor Scholarship,checked,Master,Netherland,A LOT OF DISCIPLINES,Full scholarship,Các ứng viên có quốc tịch không thuộc khối EU tốt nghiệp trong top 10% ngành bất kì đều có thể ứng tuyển,http://scholarshipplanet.info/vi/scholarship/hoc-bong-xuat-sac-dai-hoc-amsterdam-ha-lan/,January,18/8/2017,
Amsterdam Merit Scholarship,5,,Amsterdam Merit Scholarship,University-sponsor Scholarship,checked,Undergraduate,Netherland,Business and finance,more than 50% tuition fee,"€6,000 per year and up to 3 years ",http://www.uva.nl/en/programmes/bachelors/econometrics-and-operations-research/tuition-fees-and-scholarships/scholarships/amsterdam-merit-scholarship.html?origin=0UW%2FNlzHRVCfgfmL3cdmVg,April,15/8/2017,
